id,name,followers,popularity,genres
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,72311507,89,"canadian pop, pop"
72T7KgrFiMTgXRWxfuDn5o,Erato,17213,47,"acoustic cover, pop folk"
3FUY2gzHeIiaesXtOAdB7A,Train,4293620,72,"dance pop, neo mellow, pop, pop rock"
4NGiEU3Pkd8ASRyQR30jcA,Matt Nathanson,374710,54,"acoustic pop, neo mellow"
3AQRLZ9PuTAozP28Skbq8V,The Script,7908310,73,"celtic rock, pop"
6p5JxpTc7USNnBnLzctyd4,Phillip Phillips,1076761,62,"folk-pop, neo mellow, pop rock"
6kXp61QMZFPcKMcRPqoiVj,Gin Blossoms,623508,57,"permanent wave, pop rock, post-grunge, tempe indie"
4C50EbCS11M0VbGyH3OfLt,Bahamas,365737,60,"canadian indie, indie folk, stomp and holler"
7CQwac16i1W5ej8YpuL3dv,Boyce Avenue,3151943,69,"acoustic cover, neo mellow, viral pop"
3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson,3640157,76,neo mellow
0hEurMDQu99nJRq8pTxO14,John Mayer,5875264,77,"neo mellow, singer-songwriter"
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,6692958,75,"album rock, classic rock, mellow gold, rock"
6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,5388584,71,"album rock, blues rock, classic rock, electric blues, mellow gold, rock, singer-songwriter, soft rock"
7zOuMHqRJ6YOMnCGpLfuTU,Ciaran Lavery,38588,38,"british singer-songwriter, irish singer-songwriter"
2fczAptz6g62e12F9LxYI6,The Whitlams,74680,40,"australian alternative rock, australian rock, piano rock"
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,112512245,91,"pop, uk pop"
5schNIzWdI9gJ1QRK8SBnc,Ben Howard,1988074,65,"british singer-songwriter, folk-pop"
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,3423761,74,"chamber pop, eau claire indie, indie folk, melancholia, modern rock"
25mrbNwFzoqPWyYXLhiDRw,Alexi Murdoch,258285,50,"acoustic pop, british singer-songwriter, indie folk"
2BpAc5eK7Rz5GAwSp9UYXa,The Tallest Man On Earth,634250,54,"chamber pop, indie folk, stomp and holler, swedish americana, swedish singer-songwriter"
7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,10992790,79,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock"
78SHxLdtysAXgywQ4vE0Oa,Bush,1738171,61,"alternative metal, alternative rock, grunge, nu metal, post-grunge, rock"
2UazAtjfzqBF0Nho2awK4z,Stone Temple Pilots,3231134,67,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, post-grunge, rock"
40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,4530827,72,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge"
0iHb0mCbqZTYeb4y9Pirrd,Temple Of The Dog,1157206,55,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock, supergroup"
64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,4554338,71,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock"
4iudEcmuPlYNdbP3e1bdn1,Silverchair,1160134,58,"alternative metal, alternative rock, australian alternative rock, australian psych, australian rock, grunge, nu metal, post-grunge"
4zYQWYmtimAEmI6WWEzGfO,Them Crooked Vultures,534601,50,"alternative metal, alternative rock, modern blues rock, modern rock, rock, supergroup"
1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,8234883,74,"alternative metal, alternative rock, grunge, permanent wave, rock"
6GbCJZrI318Ybm8mY36Of5,Faith No More,1690751,62,"alternative metal, alternative rock, funk metal, funk rock, hard rock, nu metal, post-grunge, rap metal, rock"
1lZvg4fNAqHoj6I9N8naBM,The Presidents Of The United States Of America,569389,57,"alternative rock, grunge, pop rock"
3YcBF2ttyueytpXtEzn1Za,Incubus,3070753,69,"alternative metal, alternative rock, funk metal, funk rock, nu metal, post-grunge, rock"
1g1yxsNVPhMUl9GrMjEb2o,Plain White T's,1173502,63,"modern rock, neo mellow, neon pop punk, pop punk, pop rock"
3CckGnXzzJ9GARII95dDek,ortoPilot,64686,38,viral pop
3Kji8hBU9Tqea6pAWRwagQ,Obadiah Parker,29918,37,acoustic cover
3z6Gk257P9jNcZbBXJNX5i,Regina Spektor,1348236,60,"indie pop, lilith, piano rock"
7B2edU3Q7btJoNsoHCNohM,Laura Marling,483334,53,"british folk, british singer-songwriter, chamber pop, singer-songwriter"
