artist_id,artist_name,track_id,track_name,track_popularity,duration_ms,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id,album_name,album_release_date
3TVXtAsR1Inumwj472S9r4,Drake,7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,91,272112,True,0.817,0.44,-8.482,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,67WUCOjyl44d8fAFzHONjW,Search & Rescue,2023-04-07
3TVXtAsR1Inumwj472S9r4,Drake,1bDbXMyjaUIooNwFE9wn0N,Rich Flex,90,239359,True,0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15,5MS3MvWHJ3lOZPLiMxzOU6,Her Loss,2022-11-04
3TVXtAsR1Inumwj472S9r4,Drake,3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),89,218364,True,0.529,0.673,-4.711,0.175,0.000307,2.41e-06,0.093,0.366,165.921,3cf4iSSKd8ffTncbtKljXw,"Honestly, Nevermind",2022-06-17
3TVXtAsR1Inumwj472S9r4,Drake,1zi7xx7UVEFkmKfv06H8x0,One Dance,88,173986,False,0.792,0.625,-5.609,0.0536,0.00776,0.0018,0.329,0.37,103.967,40GMAhriYJRO1rsY4YdrZb,Views,2016-05-06
3TVXtAsR1Inumwj472S9r4,Drake,59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),87,189893,True,0.463,0.642,-4.474,0.34,0.314,0,0.0686,0.339,83.389,6tE9Dnp2zInFij4jKssysL,I NEVER LIKED YOU,2022-04-29
3TVXtAsR1Inumwj472S9r4,Drake,6DCZcSspjsKoFjzjrWoCdn,God's Plan,87,198973,True,0.754,0.449,-9.211,0.109,0.0332,8.29e-05,0.552,0.357,77.169,1ATL5GLyefJaxhQzSPVrLX,Scorpion,2018-06-29
3TVXtAsR1Inumwj472S9r4,Drake,40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),87,291175,True,0.666,0.465,-8.545,0.26,0.0503,0,0.215,0.292,167.937,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03
3TVXtAsR1Inumwj472S9r4,Drake,5mCPDVBb16L4XQwDdbRUpz,Passionfruit,86,298940,True,0.809,0.463,-11.377,0.0396,0.256,0.085,0.109,0.364,111.98,1lXY618HWkwYKJWBRYR4MK,More Life,2017-03-18
3TVXtAsR1Inumwj472S9r4,Drake,2ZL7WZcjuYKi1KUDtp4kCC,Spin Bout U,85,214588,True,0.773,0.701,-6.386,0.0512,0.01,0,0.163,0.203,129.963,5MS3MvWHJ3lOZPLiMxzOU6,Her Loss,2022-11-04
3TVXtAsR1Inumwj472S9r4,Drake,2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),84,242965,True,0.849,0.424,-9.579,0.324,0.0635,0,0.0834,0.153,145.887,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03
0c173mlxpT3dSFRgMO8XPh,Big Sean,5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",79,223413,True,0.893,0.745,-3.105,0.0571,0.0642,0,0.0943,0.872,101.018,2HaqChIDc5go3qxVunBDK0,Funk Wav Bounces Vol.1,2017-06-30
0c173mlxpT3dSFRgMO8XPh,Big Sean,7FYH5AW3bVfZHJIQpq3UOA,I Don't Fuck With You,76,284386,True,0.824,0.733,-5.474,0.0613,0.0362,0,0.325,0.395,97.972,1j2x7FJXTgUT0X5hZ8TDXE,Dark Sky Paradise,2015-02-24
0c173mlxpT3dSFRgMO8XPh,Big Sean,6rje9f1wRFJDO2iTORw0lH,I Know,75,319973,True,0.733,0.334,-11.314,0.0811,0.327,0,0.116,0.267,119.935,1j2x7FJXTgUT0X5hZ8TDXE,Dark Sky Paradise,2015-02-24
0c173mlxpT3dSFRgMO8XPh,Big Sean,6bxUnsSGZCmoHHU5auwtps,Beware,73,235186,True,0.7,0.554,-5.909,0.187,0.219,1.36e-06,0.419,0.0633,97.127,5RlT8X7XGGLKUhoimrDl54,Hall Of Fame (Deluxe),2013-01-01
0c173mlxpT3dSFRgMO8XPh,Big Sean,33gwZOGJWEZ7dRWPqPxBEZ,Wolves (feat. Post Malone),75,199758,True,0.724,0.675,-5.267,0.0867,0.0978,9.41e-06,0.351,0.325,160.048,6slkiHeFK3wW2D1mao0TX3,Detroit 2,2020-09-04
0c173mlxpT3dSFRgMO8XPh,Big Sean,0SGkqnVQo9KPytSri1H6cF,Bounce Back,71,222360,True,0.78,0.575,-5.628,0.139,0.106,0,0.129,0.273,81.502,0XAIjjN5qxViVS0Y5fYkar,I Decided.,2017-02-03
0c173mlxpT3dSFRgMO8XPh,Big Sean,3YqJ0iaDWM0aqEDQExd2j3,Don't Like.1,65,283653,True,0.657,0.611,-5.415,0.225,0.00937,0,0.146,0.616,132.062,4YXvNse2P5iuKtCPh91o8q,G.O.O.D.,2022-04-01
0c173mlxpT3dSFRgMO8XPh,Big Sean,6tEpOijHrGLidCtHeoMhlC,Master P,70,212000,True,0.847,0.632,-9.036,0.265,0.184,0.0019,0.296,0.556,120.015,1plAqF2W8hwAhcpBAfGNsW,KAYTRAMINÉ,2023-05-19
0c173mlxpT3dSFRgMO8XPh,Big Sean,65rRB2mspD309xE6YimZTl,Clique,67,293613,True,0.66,0.539,-5.947,0.324,0.0534,0,0.222,0.307,109.318,0bcOGgwJpwBjfFBTApoqSn,Kanye West Presents Good Music Cruel Summer,2012-01-01
0c173mlxpT3dSFRgMO8XPh,Big Sean,2nBI3iWLhupR7LyAJ5GGkE,Champions,66,334253,True,0.692,0.774,-2.48,0.0876,0.0623,0,0.873,0.349,134.952,1xuSorM2dDIiB5zhftB5NY,Champions,2016-06-10
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,6T7FXSuXykeGktMLGp8WgE,All My Life (feat. J. Cole),84,223878,True,0.787,0.57,-5.881,0.225,0.0449,0,0.135,0.733,142.974,6ciIG1XKTlVIn0Yl8rvsce,Almost Healed,2023-05-26
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,91,292799,True,0.69,0.521,-8.492,0.339,0.324,0,0.0534,0.494,100.028,0UMMIkurRUmkruZ3KGBLtG,2014 Forest Hills Drive,2014-12-09
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,4tqcoej1zPvwePZCzuAjJd,Wet Dreamz,86,239266,True,0.495,0.722,-8.108,0.357,0.0697,0,0.113,0.539,175.627,0UMMIkurRUmkruZ3KGBLtG,2014 Forest Hills Drive,2014-12-09
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,84,213593,True,0.837,0.364,-11.713,0.276,0.149,0,0.271,0.463,123.984,3XzSOIE6zGLliuqsVGLmUc,MIDDLE CHILD,2019-01-23
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,5wxYxygyHpbgv0EXZuqb9V,on the street (with J. Cole),84,214701,True,0.681,0.821,-5.12,0.131,0.532,0.00111,0.0921,0.813,94.074,70xdtgH5XuYTqBNdNbUwGO,on the street (with J. Cole),2023-03-03
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,2wAJTrFhCnQyNSD3oUgTZO,Work Out,83,235320,True,0.831,0.427,-6.903,0.106,0.0531,0,0.307,0.216,93.004,0fhmJYVhW0e4i33pCLPA5i,Cole World: The Sideline Story,2011-09-27
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,1D3z6HTiQsNmZxjl7F7eoG,m y . l i f e (with 21 Savage & Morray),81,218801,True,0.597,0.587,-7.026,0.137,0.0622,0,0.214,0.0753,140.021,4JAvwK4APPArjIsOdGoJXX,The Off-Season,2021-05-14
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,0Fs9cdPDhptWEDJmiCbkEW,She Knows (feat. Amber Coffman & Cults),80,296520,True,0.766,0.74,-10.363,0.0807,0.0193,0.0784,0.229,0.183,118.008,5FP9keIJnlSCKnkdVOf623,Born Sinner (Deluxe Version),2013-06-18
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,2uwnP6tZVVmTovzX5ELooy,Power Trip (feat. Miguel),79,241160,True,0.667,0.608,-7.054,0.216,0.324,0.000198,0.426,0.475,99.992,5FP9keIJnlSCKnkdVOf623,Born Sinner (Deluxe Version),2013-06-18
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,2e3Ea0o24lReQFR4FA7yXH,Love Yourz,79,211496,True,0.677,0.638,-8.631,0.333,0.589,0,0.193,0.435,82.81,0UMMIkurRUmkruZ3KGBLtG,2014 Forest Hills Drive,2014-12-09
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,45XhKYRRkyeqoW3teSOkCM,Wild Thoughts (feat. Rihanna & Bryson Tiller),71,204664,True,0.613,0.681,-3.089,0.0778,0.0287,0,0.126,0.619,97.621,3HhZbSJdhOqMSaRbEt3gtw,Grateful,2017-06-22
